中間件,中介軟體
互聯網,網際網路
元數據,詮釋資料
內存,記憶體
内存,記憶體
反饋,回饋
反饋,回饋
文本,文字
文檔,檔案
水平,水準
代碼,程式
加載,載入
台北,臺北
台灣,臺灣
用戶,使用者
光盤,光碟
存儲,儲存
並行,平行
信息,資訊
信號,訊號
界面,介面
計劃,計畫
計算機,電腦
組件化,模組化
軟件,軟體
創建,建立
散點圖,散布圖
智能,智慧
硬件,硬體
程序,程式
窗口,視窗
集成,整合
資料清洗,資料前處理
實時,即時
演示,展示
算法,演算法
網絡,網路
數位信號,數位訊號
數據庫,資料庫
模塊,模組
編程,寫程式
編寫,撰寫
緩存,快取
質量,品質
適配器,轉接器
優化,最佳化
應用程序,應用程式
題詞,提示
題詞工程,提示工程
響應,回應
圖標,圖示
菜單,選單
回車,按輸入鍵
提示符,命令提示字元
帶寬,頻寬
位寬,位元寬度
贊同,讚同
聯系,聯絡
視頻,影片
因特網,網際網路
個性化,個人化
數據集,資料集
數據科學家,資料科學家
從而,因此
高效地,有效地
支持,支援
特征,特性
準確地,精確的
博客,部落格
提取,擷取
標簽,標籤
自監督學習,自我監督學習
無監督學習,非監督式學習
監督學習,監督式學習
盡管,儘管
喫,吃
調試,除錯
插件,外掛
根基模型,基礎模型
根基,基礎
令牌,單詞
註意力,注意力
特征,特徵
預先訓練,預訓練
自定義,客製化
諸如,例如
亵渎,褻瀆
回歸,迴歸
跟蹤,追蹤
采用,採用
構建,建構
占用,佔用
社區中心,社群中心
社區,社群
數據集,資料集
堆棧,堆疊
工作流,工作流程
隻需,只要
概覽,總覽
註意,注意
設置,設定
疊代,迭代
在線,線上
批量,批次
推斷,推論
異步,非同步
返回,回傳
零售商,零售業者
獲取,取得
識別,辨識
面向對象,物件導向
磁盤,磁碟
芯片,晶片
開源,開放原始碼
閉源,封閉原始碼
發布,發佈
緻力,努力
落地應用,實際應用
端到端,端對端
首個,第一個
適配,相容
開發棧,開發工具
全棧,全端
兼容,相容
協同,合作
關註,關注
下沈,下沉
商業化落地,商業化應用
趨同,同步
落地,應用
衆所周知,眾所皆知
衆,眾
更疊,更迭
海量數據,大數據
語義,語意
搜索,搜尋
資訊流,訊息流
智慧音箱,智慧喇叭
制造,製造
數字人,數位人
體系化,系統化
算力,運算力
爲,為
增長,成長
夯實,鞏固
責編,編輯
過硬的,優秀的
跻身,進入
雲服務,雲端服務
成為現實,實現
海量,大量
堅實,穩固
挖掘,探勘
大潮,浪潮
卡耐基梅隆,卡內基美隆
遞歸神經網路,循環神經網路
多枚,多顆
攝像頭,攝影機
雲計算,雲端運算
布局,佈局
一緻,一致
註重,重視
標註,標記
運營,營運
集約,整合
集聚,匯聚
數字經濟,數位經濟
數字産業,數位產業
本科,學士
學曆,學歷
打分,評分
閉環,封閉迴路
智慧化工具,智慧工具
實現,達成
降本增效,降低成本提高效率
涉及,涵蓋
考核,評核
沈澱,沉澱
覆蓋,涵蓋
保證,確保
咨詢,諮詢
數據清洗,資料前處理
數據收集,資料收集
隻有,只有
完善,完備
助力,協助
分布,分散
克隆,複製
普利策,普立茲
按揭,抵押
特朗普,川普
髮的,發的
定制,客製化
訂製,客製化
萬裏之外,萬里之外
髮現,發現
映射,對映
崭露,嶄露
移動,行動
納米,奈米
屏幕,螢幕
筆記本電腦,筆記型電腦
頭部優勢,領先優勢
隻是,只是
汙染,污染
有效地,有效
源碼,原始碼
概率,機率
線程,執行緒
命令行,命令列
魯棒性,穩健性
水平,水準
前沿,先進
可視化,視覺化
汙,污
專註,專注
使用者友好,使用者友善
客製化化,客製化
模闆,模板
儀表闆,儀表板
交互式,互動式
交互,互動
演演算法,演算法
不是隻,不是只
數據庫,資料庫
博寰,泊寰
博特人,波特人
博歡,泊寰
溫君怡,溫君宜
君怡,君宜
李秉佑,李秉祐 
秉佑,秉祐
李大秉,李大餅
大秉,大餅
洪麗達,洪立達
麗達,立達
之佳,姿嘉
凡雲,凡芸
紀靜,紀靜
配雲,佩芸
愛打菜,愛打菜
雅琴,雅晴
寶貝羊,寶貝羊
怡婷,怡婷
佳敏,佳敏
陳瑋,承緯
熊大,熊大
裴承,培成
家若,佳珞
彩秀,采秀
靜超,靖超
瑞豐,瑞鋒
編碼,寫程式
代碼,程式碼
人事實地物,人事時地物
迴文幀,迴紋針
接口,介面
陳偉,承緯
博環,泊寰
調查程式,調查程序
激活,啟動
海記憶體,海內存
帖文,貼文
字段,字串
用例,案例
示例,範例
幻燈片,投影片
精化,最佳化
教程,教學指引
操作系統,作業系統
幹擾,干擾
點踩,不讚
